0.000000e+00 9.999997e-19 9.999997e-19 -1.999999e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-2.155104e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-1.725661e-09,3.821887e-14,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 9.999997e-19 9.999997e-19 -1.999999e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-2.155104e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-1.725661e-09,3.821825e-14,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 9.999998e-19 9.999998e-19 -1.999999e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-2.155104e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-1.725661e-09,3.821824e-14,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.000000e-18 1.000000e-18 -2.000000e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-2.155104e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-1.725661e-09,3.821698e-14,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.000003e-18 1.000003e-18 -2.000006e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-2.155103e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-1.725659e-09,3.821800e-14,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.000019e-18 1.000019e-18 -2.000038e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-2.155100e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-1.725648e-09,3.821620e-14,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.000117e-18 1.000117e-18 -2.000233e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-2.155728e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-1.726192e-09,3.824102e-14,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.000701e-18 1.000701e-18 -2.001402e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-2.156251e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-1.726398e-09,3.825464e-14,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.004219e-18 1.004219e-18 -2.008439e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-2.161336e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-1.729462e-09,3.839233e-14,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.025724e-18 1.025724e-18 -2.051447e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-2.191777e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-1.747595e-09,3.934185e-14,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.054629e-18 1.054629e-18 -2.109258e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-2.233015e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-1.772283e-09,4.065776e-14,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
